종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,"67,100",상승400,+0.60%,"23,853,052","1,600,973","3,972,077"
SK하이닉스,"269,000",하락500,-0.19%,"5,245,613","1,413,676","1,958,326"
LG에너지솔루션,"322,500","상승5,500",+1.74%,"281,309","90,391","754,650"
삼성바이오로직스,"1,051,000","하락19,000",-1.78%,"75,664","79,649","748,039"
KB금융,"113,400","하락1,400",-1.22%,"627,930","71,408","432,578"
현대차,"210,500",상승500,+0.24%,"317,353","66,653","431,015"
한화에어로스페이스,"896,000",보합0,0.00%,"176,796","158,820","423,774"
두산에너빌리티,"64,800","상승1,500",+2.37%,"5,840,366","373,895","415,084"
셀트리온,"180,300",하락100,-0.06%,"257,912","46,503","401,034"
기아,"99,800",하락400,-0.40%,"586,973","58,766","396,877"
